Date,State,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
20-12-2020,,Afghanistan,36263,1269,25198,9796,106,10,18
21-12-2020,,Albania,4880,144,2745,1991,117,6,63
22-12-2020,,Algeria,27973,1163,18837,7973,616,8,749
23-12-2020,,Andorra,907,52,803,52,10,0,0
24-12-2020,,Angola,950,41,242,667,18,1,0
25-12-2020,,Antigua and Barbuda,86,3,65,18,4,0,5
26-12-2020,,Argentina,167416,3059,72575,91782,4890,120,2057
27-12-2020,,Armenia,37390,711,26665,10014,73,6,187
28-12-2020,,Australia,15303,167,9311,5825,368,6,137
29-12-2020,,Austria,20558,713,18246,1599,86,1,37
30-12-2020,,Azerbaijan,30446,423,23242,6781,396,6,558
31-12-2020,,Bahamas,382,11,91,280,40,0,0
01-01-2021,,Bahrain,39482,141,36110,3231,351,1,421
02-01-2021,,Bangladesh,226225,2965,125683,97577,2772,37,1801
03-01-2021,,Barbados,110,7,94,9,0,0,0
04-01-2021,,Belarus,67251,538,60492,6221,119,4,67
05-01-2021,,Belgium,66428,9822,17452,39154,402,1,14
06-01-2021,,Belize,48,2,26,20,0,0,0
07-01-2021,,Benin,1770,35,1036,699,0,0,0
08-01-2021,,Bhutan,99,0,86,13,4,0,1
09-01-2021,,Bolivia,71181,2647,21478,47056,1752,64,309
10-01-2021,,Bosnia and Herzegovina,10498,294,4930,5274,731,14,375
11-01-2021,,Botswana,739,2,63,674,53,1,11
12-01-2021,,Brazil,2442375,87618,1846641,508116,23284,614,33728
13-01-2021,,Brunei,141,3,138,0,0,0,0
22-02-2021,,Bulgaria,10621,347,5585,4689,194,7,230
23-02-2021,,Burkina Faso,1100,53,926,121,14,0,6
24-02-2021,,Burma,350,6,292,52,0,0,2
25-02-2021,,Burundi,378,1,301,76,17,0,22
26-02-2021,,Cabo Verde,2328,22,1550,756,21,0,103
27-02-2021,,Cambodia,226,0,147,79,1,0,4
28-02-2021,,Cameroon,17110,391,14539,2180,402,6,0
01-03-2021,,Canada,116458,8944,0,107514,682,11,0
02-03-2021,,Central African Republic,4599,59,1546,2994,0,0,0
03-03-2021,,Chad,922,75,810,37,7,0,0
04-03-2021,,Chile,347923,9187,319954,18782,2133,75,1859
